step,episodes,epsilon,train/ep_reward,train/ep_len,eval_masked/mean_reward,eval_masked/success,eval_q/mean_reward,eval_q/success,loss/q,loss/b,recent_policy,fps
50000,204,0.7625,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.000716,1.943524,cov(0.60),0.00
100000,409,0.5250,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.000913,1.945321,cov(0.60),0.00
150000,613,0.2875,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.027968,1.945322,cov(0.20),0.00
200000,819,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.018956,1.943047,cov(0.60),0.00
250000,1025,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.013834,1.943340,cov(0.60),0.00
300000,1232,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.019097,1.941227,cov(0.60),0.00
350000,1436,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.016207,1.944303,cov(0.60),0.00
400000,1642,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.013577,1.943127,cov(0.40),0.00
450000,1845,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.009904,1.941235,cov(0.60),0.00
500000,2052,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.006174,1.943267,cov(0.60),0.00
550000,2257,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.014468,1.942262,cov(0.60),0.00
600000,2466,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.006515,1.936041,cov(0.60),0.00
650000,2669,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.010835,1.944143,cov(0.60),0.00
700000,2877,0.0500,0.3844,171.0,0.0000,0.0000,0.0000,0.0000,0.013640,1.942841,cov(0.60),0.00
750000,3085,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.006973,1.942412,cov(0.60),0.00
800000,3287,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.009714,1.943751,cov(0.60),0.00
850000,3493,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.013887,1.940654,cov(0.60),0.00
900000,3698,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.019177,1.937053,cov(0.60),0.00
950000,3902,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.018623,1.940242,cov(0.60),0.00
1000000,4110,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.007212,1.942701,cov(0.60),0.00
1050000,4315,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.007577,1.935433,cov(0.60),0.00
1100000,4520,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.007479,1.941729,cov(0.60),0.00
1150000,4727,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.006912,1.942534,cov(0.60),0.00
1200000,4933,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.004150,1.940833,cov(0.20),0.00
1250000,5139,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.003824,1.937788,cov(0.60),0.00
1300000,5347,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.004630,1.942352,cov(0.60),0.00
1350000,5553,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.004769,1.943092,cov(0.60),0.00
1400000,5758,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.010048,1.941378,cov(0.60),0.00
1450000,5964,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.012334,1.938793,cov(0.60),0.00
1500000,6170,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.011138,1.944049,cov(0.40),0.00
1550000,6376,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.012849,1.943977,cov(0.40),0.00
1600000,6581,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.008428,1.943998,cov(0.50),0.00
1650000,6783,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.013093,1.946373,cov(0.50),0.00
1700000,6988,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.010311,1.938629,cov(0.50),0.00
1750000,7196,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.022660,1.941482,cov(0.50),0.00
1800000,7404,0.0500,0.2008,222.0,0.0000,0.0000,0.0000,0.0000,0.007436,1.941933,cov(0.50),0.00
1850000,7609,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.008047,1.935387,cov(0.50),0.00
1900000,7815,0.0500,0.1324,241.0,0.0000,0.0000,0.0000,0.0000,0.011208,1.941000,cov(0.50),0.00
1950000,8020,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.016588,1.946276,cov(0.30),0.00
2000000,8225,0.0500,0.0000,250.0,0.0000,0.0000,0.0000,0.0000,0.014896,1.939007,cov(0.20),0.00
